Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
841220543,54,cuGetProcAddress,0,410,1656042,1656042,20,python
841220641,62,cuGetProcAddress,0,411,1656042,1656042,20,python
841220746,71,cuGetProcAddress,0,412,1656042,1656042,20,python
841220860,59,cuGetProcAddress,0,413,1656042,1656042,20,python
841220962,62,cuGetProcAddress,0,414,1656042,1656042,20,python
841221067,75,cuGetProcAddress,0,415,1656042,1656042,20,python
841221186,70,cuGetProcAddress,0,416,1656042,1656042,20,python
841221299,70,cuGetProcAddress,0,417,1656042,1656042,20,python
841221516,136,cuGetProcAddress,0,418,1656042,1656042,20,python
841221708,65,cuGetProcAddress,0,419,1656042,1656042,20,python
841221817,56,cuGetProcAddress,0,420,1656042,1656042,20,python
841221917,88,cuGetProcAddress,0,421,1656042,1656042,20,python
841222048,45,cuGetProcAddress,0,422,1656042,1656042,20,python
841222136,68,cuGetProcAddress,0,423,1656042,1656042,20,python
841222248,49,cuGetProcAddress,0,424,1656042,1656042,20,python
841222340,88,cuGetProcAddress,0,425,1656042,1656042,20,python
841222471,51,cuGetProcAddress,0,426,1656042,1656042,20,python
841222565,75,cuGetProcAddress,0,427,1656042,1656042,20,python
841222683,56,cuGetProcAddress,0,428,1656042,1656042,20,python
841222781,64,cuGetProcAddress,0,429,1656042,1656042,20,python
841222888,116,cuGetProcAddress,0,430,1656042,1656042,20,python
841223048,96,cuGetProcAddress,0,431,1656042,1656042,20,python
841223188,84,cuGetProcAddress,0,432,1656042,1656042,20,python
841223316,94,cuGetProcAddress,0,433,1656042,1656042,20,python
841223454,92,cuGetProcAddress,0,434,1656042,1656042,20,python
841223590,69,cuGetProcAddress,0,435,1656042,1656042,20,python
841223703,100,cuGetProcAddress,0,436,1656042,1656042,20,python
841223847,58,cuGetProcAddress,0,437,1656042,1656042,20,python
841223949,77,cuGetProcAddress,0,438,1656042,1656042,20,python
841224070,66,cuGetProcAddress,0,439,1656042,1656042,20,python
841224180,76,cuGetProcAddress,0,440,1656042,1656042,20,python
841224300,64,cuGetProcAddress,0,441,1656042,1656042,20,python
841224408,55,cuGetProcAddress,0,442,1656042,1656042,20,python
841224507,76,cuGetProcAddress,0,443,1656042,1656042,20,python
841224627,72,cuGetProcAddress,0,444,1656042,1656042,20,python
841224742,51,cuGetProcAddress,0,445,1656042,1656042,20,python
841224838,55,cuGetProcAddress,0,446,1656042,1656042,20,python
841224937,40,cuGetProcAddress,0,447,1656042,1656042,20,python
841225020,42,cuGetProcAddress,0,448,1656042,1656042,20,python
841225106,86,cuGetProcAddress,0,449,1656042,1656042,20,python
841225236,86,cuGetProcAddress,0,450,1656042,1656042,20,python
841225367,76,cuGetProcAddress,0,451,1656042,1656042,20,python
841225487,61,cuGetProcAddress,0,452,1656042,1656042,20,python
841225593,77,cuGetProcAddress,0,453,1656042,1656042,20,python
841225714,51,cuGetProcAddress,0,454,1656042,1656042,20,python
841225809,55,cuGetProcAddress,0,455,1656042,1656042,20,python
841225909,40,cuGetProcAddress,0,456,1656042,1656042,20,python
841225994,54,cuGetProcAddress,0,457,1656042,1656042,20,python
841226093,49,cuGetProcAddress,0,458,1656042,1656042,20,python
841226185,49,cuGetProcAddress,0,459,1656042,1656042,20,python
841226278,52,cuGetProcAddress,0,460,1656042,1656042,20,python
841226373,48,cuGetProcAddress,0,461,1656042,1656042,20,python
841226465,60,cuGetProcAddress,0,462,1656042,1656042,20,python
841226568,47,cuGetProcAddress,0,463,1656042,1656042,20,python
841226659,71,cuGetProcAddress,0,464,1656042,1656042,20,python
841226774,66,cuGetProcAddress,0,465,1656042,1656042,20,python
841226884,58,cuGetProcAddress,0,466,1656042,1656042,20,python
841226986,59,cuGetProcAddress,0,467,1656042,1656042,20,python
841227089,50,cuGetProcAddress,0,468,1656042,1656042,20,python
841227182,42,cuGetProcAddress,0,469,1656042,1656042,20,python
841227268,45,cuGetProcAddress,0,470,1656042,1656042,20,python
841227357,44,cuGetProcAddress,0,471,1656042,1656042,20,python
841227451,65,cuGetProcAddress,0,472,1656042,1656042,20,python
841227560,45,cuGetProcAddress,0,473,1656042,1656042,20,python
841227649,53,cuGetProcAddress,0,474,1656042,1656042,20,python
841227746,44,cuGetProcAddress,0,475,1656042,1656042,20,python
841227835,93,cuGetProcAddress,0,476,1656042,1656042,20,python
841227972,77,cuGetProcAddress,0,477,1656042,1656042,20,python
841228093,64,cuGetProcAddress,0,478,1656042,1656042,20,python
841228201,95,cuGetProcAddress,0,479,1656042,1656042,20,python
841228340,80,cuGetProcAddress,0,480,1656042,1656042,20,python
841228465,96,cuGetProcAddress,0,481,1656042,1656042,20,python
841228604,90,cuGetProcAddress,0,482,1656042,1656042,20,python
841228739,67,cuGetProcAddress,0,483,1656042,1656042,20,python
841228850,58,cuGetProcAddress,0,484,1656042,1656042,20,python
841228952,60,cuGetProcAddress,0,485,1656042,1656042,20,python
841229057,78,cuGetProcAddress,0,486,1656042,1656042,20,python
841229179,62,cuGetProcAddress,0,487,1656042,1656042,20,python
841229289,57,cuGetProcAddress,0,488,1656042,1656042,20,python
841229390,57,cuGetProcAddress,0,489,1656042,1656042,20,python
841229490,61,cuGetProcAddress,0,490,1656042,1656042,20,python
841229595,67,cuGetProcAddress,0,491,1656042,1656042,20,python
841229705,59,cuGetProcAddress,0,492,1656042,1656042,20,python
841229808,45,cuGetProcAddress,0,493,1656042,1656042,20,python
841229896,66,cuGetProcAddress,0,494,1656042,1656042,20,python
841230005,67,cuGetProcAddress,0,495,1656042,1656042,20,python
841230114,49,cuGetProcAddress,0,496,1656042,1656042,20,python
841230206,63,cuGetProcAddress,0,497,1656042,1656042,20,python
841231384,704,cuInit,0,499,1656042,1656042,20,python
841233163,104,cuModuleGetLoadingMode,0,500,1656042,1656042,20,python
845798787,2067467,cudaGetDeviceProperties,0,604,1656042,1656042,20,python
847985371,101391698,cudaStreamIsCapturing_v10000,0,613,1656042,1656042,20,python
949379450,20595177,cudaMalloc,0,614,1656042,1656042,20,python
970015193,7051254,cudaMemcpyAsync,0,619,1656042,1656042,20,python
977067520,44673,cudaStreamSynchronize,0,620,1656042,1656042,20,python
977312449,836,cudaStreamIsCapturing_v10000,0,628,1656042,1656042,20,python
977313470,69051,cudaMalloc,0,629,1656042,1656042,20,python
977390250,6918,cudaMemcpyAsync,0,634,1656042,1656042,20,python
977397405,66913,cudaStreamSynchronize,0,635,1656042,1656042,20,python
977489177,425013,cudaMemcpyAsync,0,645,1656042,1656042,20,python
977914481,46149,cudaStreamSynchronize,0,646,1656042,1656042,20,python
978108159,3996,cudaMemcpyAsync,0,656,1656042,1656042,20,python
978112288,66005,cudaStreamSynchronize,0,657,1656042,1656042,20,python
978191504,1915,cudaMemcpyAsync,0,667,1656042,1656042,20,python
978193522,2980,cudaStreamSynchronize,0,668,1656042,1656042,20,python
978201517,1708,cudaMemcpyAsync,0,678,1656042,1656042,20,python
978203305,3205,cudaStreamSynchronize,0,679,1656042,1656042,20,python
978213093,211387,cudaMemcpyAsync,0,689,1656042,1656042,20,python
978424858,45781,cudaStreamSynchronize,0,690,1656042,1656042,20,python
978540988,3487,cudaMemcpyAsync,0,700,1656042,1656042,20,python
978544574,65609,cudaStreamSynchronize,0,701,1656042,1656042,20,python
978687308,457,cudaStreamIsCapturing_v10000,0,715,1656042,1656042,20,python
978689259,497426,cudaLaunchKernel,0,717,1656042,1656042,20,python
979203633,9972,cudaStreamCreateWithPriority,0,723,1656042,1656042,20,python
979213719,834,cudaStreamCreateWithPriority,0,724,1656042,1656042,20,python
979214673,640,cudaStreamCreateWithPriority,0,725,1656042,1656042,20,python
979215369,683,cudaStreamCreateWithPriority,0,726,1656042,1656042,20,python
979216118,699,cudaStreamCreateWithPriority,0,727,1656042,1656042,20,python
979216871,651,cudaStreamCreateWithPriority,0,728,1656042,1656042,20,python
979217586,655,cudaStreamCreateWithPriority,0,729,1656042,1656042,20,python
979218294,818,cudaStreamCreateWithPriority,0,730,1656042,1656042,20,python
979219174,37892,cudaStreamCreateWithPriority,0,731,1656042,1656042,20,python
979257183,654,cudaStreamCreateWithPriority,0,732,1656042,1656042,20,python
979257901,659,cudaStreamCreateWithPriority,0,733,1656042,1656042,20,python
979258614,625,cudaStreamCreateWithPriority,0,734,1656042,1656042,20,python
979259303,779,cudaStreamCreateWithPriority,0,735,1656042,1656042,20,python
979260155,612,cudaStreamCreateWithPriority,0,736,1656042,1656042,20,python
979260830,690,cudaStreamCreateWithPriority,0,737,1656042,1656042,20,python
979261572,698,cudaStreamCreateWithPriority,0,738,1656042,1656042,20,python
979262333,2883,cudaStreamCreateWithPriority,0,739,1656042,1656042,20,python
